id,area,type,category,description,status,priority,progress,businessValueScore,roiProjection,costEstimate,maturityLevel_level,maturityLevel_score,maturityLevel_description,applicability_type,applicability_description,applicability_weight,implementationPhase,businessJustification,consequences_immediate,consequences_type,consequences_impact,assignee,dueDate,lastUpdated,cafPrinciple,cafPrinciple2,nisReference
BR-NF19,Business,Non-Functional,Network Architecture Flexibility,"Ensure that the segmentation solution can support various OT-specific network topologies (e.g., ring, star, mesh).",Under Review,High,38,1.4,62,499047,Developing,2,Some processes defined,Applicable,Relevant and beneficial,0.8,Phase 2 (6-12 months),This network architecture flexibility supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Security vulnerability,Security,Severe,Identity Team,26/06/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
BR-NF20,Business,Non-Functional,Network Architecture Flexibility,Implement segmentation in a way that allows for graceful degradation of network functionality in case of component failure.,On Hold,Low,91,1.8,272,192128,Developing,2,Some processes defined,Applicable,Relevant and beneficial,0.8,Phase 3 (12-24 months),This network architecture flexibility supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Operational risk,Compliance,Moderate,Security Team,28/12/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
BR-NF21,Business,Non-Functional,Resource Efficiency,Ensure that the segmentation solution can operate with minimal computational overhead on resource-constrained OT devices.,Completed,Medium,39,2.9,272,383830,Managed,4,Measured and controlled,Future,Planned for future phases,0.6,Phase 1 (0-6 months),This resource efficiency supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Security vulnerability,Compliance,Significant,Network Team,03/06/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
BR-NF22,Business,Non-Functional,Supportability & Maintenance,Provide mechanisms for automated configuration backup and restore of segmentation settings.,Under Review,Low,78,3,256,73835,Optimizing,5,Continuously improving,Conditional,Depends on other factors,0.4,Future (24+ months),This supportability & maintenance supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Regulatory exposure,Operational,Significant,Compliance Team,14/02/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
BR-NF23,Business,Non-Functional,Network Architecture Flexibility,Ensure that the segmentation solution can adapt to changes in network topology without manual reconfiguration.,On Hold,Critical,31,3.4,162,199320,Managed,4,Measured and controlled,Conditional,Depends on other factors,0.4,Phase 3 (12-24 months),This network architecture flexibility supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Security vulnerability,Compliance,Minor,Compliance Team,26/11/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
BR-NF24,Business,Non-Functional,Network Architecture Flexibility,Implement segmentation in a way that allows for easy network expansion and contraction without compromising security.,Under Review,Critical,2,1,83,459181,Developing,2,Some processes defined,Future,Planned for future phases,0.6,Phase 3 (12-24 months),This network architecture flexibility supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Security vulnerability,Compliance,Severe,Security Team,08/04/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
BR-NF25,Business,Non-Functional,Network Architecture Flexibility,Ensure that the segmentation solution can operate effectively in air-gapped environments when necessary.,On Hold,Critical,45,4.9,120,102066,Managed,4,Measured and controlled,Future,Planned for future phases,0.6,Phase 3 (12-24 months),This network architecture flexibility supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Regulatory exposure,Financial,Minor,Operations Team,25/07/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
BR-NF26,Business,Non-Functional,Data Privacy & Regulatory Compliance,"Ensure compliance with emerging global data protection and privacy regulations (e.g., GDPR, CCPA) in the context of OT data flows.",In Progress,Low,3,1.2,114,451534,Optimizing,5,Continuously improving,Future,Planned for future phases,0.6,Phase 3 (12-24 months),This data privacy & regulatory compliance supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Regulatory exposure,Financial,Moderate,Identity Team,09/07/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
BR-NF27,Business,Non-Functional,Sustainability & Environmental Impact,Support sustainability initiatives by providing energy efficiency metrics and optimization for segmentation infrastructure.,Under Review,High,92,4.7,99,174319,Optimizing,5,Continuously improving,Applicable,Relevant and beneficial,0.8,Phase 3 (12-24 months),This sustainability & environmental impact supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Compliance gap,Security,Significant,Identity Team,05/06/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
BR-NF28,Business,Non-Functional,Future-Proofing & Emerging Technologies,Ensure the segmentation solution is adaptable to quantum-resistant cryptographic standards as they emerge.,On Hold,Critical,74,3.7,231,153829,Optimizing,5,Continuously improving,Applicable,Relevant and beneficial,0.8,Phase 2 (6-12 months),This future-proofing & emerging technologies supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Operational risk,Compliance,Severe,Compliance Team,23/06/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
BR-NF29,Business,Non-Functional,Future-Proofing & Emerging Technologies,Provide a clear roadmap for continuous innovation and feature updates to address evolving OT security challenges.,Under Review,Critical,2,3.1,92,69890,Optimizing,5,Continuously improving,Applicable,Relevant and beneficial,0.8,Phase 1 (0-6 months),This future-proofing & emerging technologies supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Security vulnerability,Security,Significant,Identity Team,06/12/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
BR-NF30,Business,Non-Functional,Environmental & Physical Considerations,Ensure the solution can operate effectively in low-bandwidth and intermittently connected OT environments.,On Hold,Medium,75,3.4,266,388096,Developing,2,Some processes defined,Applicable,Relevant and beneficial,0.8,Future (24+ months),This environmental & physical considerations supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Security vulnerability,Financial,Moderate,Identity Team,12/04/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
BR-NF31,Business,Non-Functional,Future-Proofing & Emerging Technologies,Support integration with augmented and virtual reality systems for advanced visualization of network segmentation.,Under Review,Low,95,4.4,59,41453,Initial,1,"Ad-hoc, no formal process",Essential,Critical for operations,1,Future (24+ months),This future-proofing & emerging technologies supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Regulatory exposure,Compliance,Moderate,Operations Team,07/04/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
BR-NF32,Business,Non-Functional,Future-Proofing & Emerging Technologies,Ensure the segmentation solution can adapt to changes in industrial standards and protocols without major redesigns.,Not Started,Low,21,3.7,185,180850,Managed,4,Measured and controlled,Future,Planned for future phases,0.6,Phase 1 (0-6 months),This future-proofing & emerging technologies supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Compliance gap,Operational,Moderate,Security Team,02/08/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
BR-NF33,Business,Non-Functional,Business Value & ROI,Provide mechanisms for measuring and reporting on the business value and ROI of the segmentation implementation.,In Progress,Medium,57,1.5,213,77314,Initial,1,"Ad-hoc, no formal process",Not Applicable,Not relevant to current scope,,Phase 3 (12-24 months),This business value & roi supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Operational risk,Security,Significant,Security Team,14/11/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
BR-NF34,Business,Non-Functional,Ethical & Responsible AI,Support ethical AI principles in any AI-driven segmentation decisions or recommendations.,Not Started,Critical,92,1.5,160,476908,Developing,2,Some processes defined,Not Applicable,Not relevant to current scope,,Phase 1 (0-6 months),This ethical & responsible ai supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Security vulnerability,Financial,Moderate,Compliance Team,26/01/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
BR-NF35,Business,Non-Functional,Future-Proofing & Emerging Technologies,"Ensure the solution can scale to support future industrial automation trends, such as lights-out manufacturing.",Under Review,Low,79,1.1,250,82649,Managed,4,Measured and controlled,Essential,Critical for operations,1,Future (24+ months),This future-proofing & emerging technologies supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Operational risk,Financial,Minor,Network Team,05/12/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-F1,User,Functional,Visualization & User Interface,Users shall be able to view a graphical representation of the segmented OT network topology.,Not Started,Low,9,1.9,127,144775,Optimizing,5,Continuously improving,Conditional,Depends on other factors,0.4,Phase 3 (12-24 months),This visualization & user interface supports regulatory compliance and operational security. Mapped to B4: System security. Addresses NIS Regulation 10(2)(a) - Appropriate technical measures.,Compliance gap,Operational,Moderate,Network Team,23/05/2026,06/06/2025,B4: System security,< - Blank | Not Applicable - >,NIS Regulation 10(2)(a) - Appropriate technical measures
UR-F2,User,Functional,Configuration & Change Management,OT system administrators shall be able to define and modify network segmentation policies through a user interface.,On Hold,Low,39,5,45,480148,Optimizing,5,Continuously improving,Essential,Critical for operations,1,Phase 1 (0-6 months),This configuration & change management supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >. Addresses NIS Regulation 10(2)(e) - Regular assessment.,Operational risk,Operational,Severe,Identity Team,03/01/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,NIS Regulation 10(2)(e) - Regular assessment
UR-F3,User,Functional,Monitoring & Detection,Security personnel shall be able to monitor real-time traffic flows between network segments.,In Progress,Medium,80,2.5,145,219704,Developing,2,Some processes defined,Not Applicable,Not relevant to current scope,,Future (24+ months),This monitoring & detection supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Operational risk,Security,Severe,Compliance Team,16/09/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-F4,User,Functional,Access Request & Management,Users shall be able to request access to specific OT network segments through an approval workflow.,In Progress,Low,20,4.5,256,276550,Initial,1,"Ad-hoc, no formal process",Applicable,Relevant and beneficial,0.8,Future (24+ months),This access request & management supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Regulatory exposure,Financial,Minor,Security Team,05/03/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-F5,User,Functional,Remote Management & Monitoring,OT engineers shall be able to securely access and manage OT devices across different network segments.,Completed,Medium,87,3.7,133,51891,Defined,3,Documented and standardized,Applicable,Relevant and beneficial,0.8,Phase 1 (0-6 months),This remote management & monitoring supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Compliance gap,Operational,Severe,Security Team,26/09/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-F6,User,Functional,Remote Access,Administrators shall be able to configure and manage secure remote access for vendors and third-party support.,Completed,High,8,3.9,261,506552,Initial,1,"Ad-hoc, no formal process",Future,Planned for future phases,0.6,Future (24+ months),This remote access supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Operational risk,Security,Minor,Compliance Team,18/11/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-F7,User,Functional,Reporting & Compliance Visibility,Users shall be able to generate reports on network segmentation status and policy compliance.,Completed,Medium,74,2.3,238,161530,Developing,2,Some processes defined,Applicable,Relevant and beneficial,0.8,Phase 2 (6-12 months),This reporting & compliance visibility supports regulatory compliance and operational security. Mapped to A1: Governance.,Regulatory exposure,Compliance,Moderate,Identity Team,22/09/2025,06/06/2025,A1: Governance,A2: Risk management,
UR-F8,User,Functional,Monitoring & Detection,Security analysts shall be able to investigate security incidents across segmented networks from a centralised console.,Completed,Medium,51,4,46,177819,Managed,4,Measured and controlled,Conditional,Depends on other factors,0.4,Phase 1 (0-6 months),This monitoring & detection supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Security vulnerability,Security,Severe,Compliance Team,23/09/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-F9,User,Functional,Network Management,Network administrators shall be able to implement and manage VLANs for logical segmentation within the OT network.,Completed,Critical,32,2.6,244,345370,Developing,2,Some processes defined,Essential,Critical for operations,1,Future (24+ months),This network management supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Security vulnerability,Financial,Moderate,Operations Team,24/10/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-F10,User,Functional,Secure Data Flow,OT managers shall be able to define and enforce data flow policies between different network segments.,On Hold,High,39,1.3,146,221528,Optimizing,5,Continuously improving,Not Applicable,Not relevant to current scope,,Phase 2 (6-12 months),This secure data flow supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Security vulnerability,Financial,Minor,Compliance Team,16/07/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-F11,User,Functional,Network Management,System integrators shall be able to securely connect new OT devices to the appropriate network segment.,Not Started,Medium,61,4.1,178,310759,Initial,1,"Ad-hoc, no formal process",Essential,Critical for operations,1,Phase 1 (0-6 months),This network management supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Operational risk,Operational,Minor,Compliance Team,06/01/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-F12,User,Functional,Compliance & Regulatory Management,Compliance officers shall be able to audit network segmentation configurations against regulatory requirements.,On Hold,Critical,,1.8,87,345745,Developing,2,Some processes defined,Future,Planned for future phases,0.6,Phase 2 (6-12 months),This compliance & regulatory management supports regulatory compliance and operational security. Mapped to A1: Governance. Addresses NIS Regulation 10(2)(e) - Verification of security.,Regulatory exposure,Security,Moderate,Security Team,03/04/2026,06/06/2025,A1: Governance,< - Blank | Not Applicable - >,NIS Regulation 10(2)(e) - Verification of security
UR-F13,User,Functional,Troubleshooting & Maintenance,IT support staff shall be able to troubleshoot connectivity issues across segmented networks.,Completed,Critical,18,4.8,68,346552,Managed,4,Measured and controlled,Not Applicable,Not relevant to current scope,,Future (24+ months),This troubleshooting & maintenance supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Operational risk,Operational,Moderate,Network Team,17/01/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-F14,User,Functional,Testing & Simulation,OT security personnel shall be able to simulate and test network segmentation policies before deployment.,Not Started,High,19,4.1,251,104442,Initial,1,"Ad-hoc, no formal process",Applicable,Relevant and beneficial,0.8,Phase 2 (6-12 months),This testing & simulation supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Operational risk,Compliance,Significant,Operations Team,28/11/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-F15,User,Functional,Visualization & User Interface,Plant managers shall be able to view the operational status of critical OT systems across different network segments.,In Progress,High,34,1,208,440536,Developing,2,Some processes defined,Conditional,Depends on other factors,0.4,Phase 3 (12-24 months),This visualization & user interface supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Compliance gap,Financial,Severe,Security Team,27/12/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-F16,User,Functional,Configuration & Change Management,Administrators shall be able to manage and update firewall rules between network segments.,Not Started,Low,9,1.3,180,413565,Defined,3,Documented and standardized,Not Applicable,Not relevant to current scope,,Future (24+ months),This configuration & change management supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Security vulnerability,Operational,Significant,Operations Team,22/12/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-F17,User,Functional,Security Assessment & Vulnerability Management,Security teams shall be able to conduct vulnerability scans on specific network segments without affecting others.,On Hold,High,18,4,25,346621,Defined,3,Documented and standardized,Applicable,Relevant and beneficial,0.8,Phase 1 (0-6 months),This security assessment & vulnerability management supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Security vulnerability,Financial,Significant,Network Team,13/04/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-F18,User,Functional,Secure Data Flow,OT engineers shall be able to securely transfer data between different security zones when necessary.,Not Started,Medium,46,2.3,39,454241,Defined,3,Documented and standardized,Not Applicable,Not relevant to current scope,,Phase 2 (6-12 months),This secure data flow supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Regulatory exposure,Operational,Minor,Compliance Team,11/03/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-F19,User,Functional,Incident Response,Network operators shall be able to quickly isolate a compromised network segment in case of a security incident.,Completed,Medium,6,1.8,264,254901,Developing,2,Some processes defined,Not Applicable,Not relevant to current scope,,Future (24+ months),This incident response supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Compliance gap,Security,Moderate,Network Team,02/02/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-F20,User,Functional,Time Synchronisation & Management,Administrators shall be able to manage and synchronize time across all network segments.,Under Review,Critical,84,4.2,266,409573,Developing,2,Some processes defined,Not Applicable,Not relevant to current scope,,Phase 1 (0-6 months),This time synchronisation & management supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Compliance gap,Operational,Moderate,Operations Team,21/04/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-F21,User,Functional,Training & Knowledge Management,The system shall provide an interactive tutorial or walkthrough for new users to learn basic network segmentation management tasks.,In Progress,High,62,2.8,137,504012,Optimizing,5,Continuously improving,Future,Planned for future phases,0.6,Future (24+ months),This training & knowledge management supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Regulatory exposure,Operational,Moderate,Identity Team,05/03/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-F22,User,Functional,Training & Knowledge Management,Users shall be able to access a knowledge base of best practices and common issues related to OT network segmentation.,Not Started,Low,90,1.5,87,115290,Defined,3,Documented and standardized,Essential,Critical for operations,1,Future (24+ months),This training & knowledge management supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Regulatory exposure,Operational,Significant,Compliance Team,02/10/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-F23,User,Functional,Configuration & Change Management / Backup & Recovery,Administrators shall be able to create and restore backups of network segmentation configurations.,Not Started,High,31,3.6,229,423139,Developing,2,Some processes defined,Applicable,Relevant and beneficial,0.8,Future (24+ months),This configuration & change management / backup & recovery supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Operational risk,Financial,Moderate,Identity Team,13/11/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-F24,User,Functional,Configuration & Change Management,The system shall provide a change management workflow for approving and implementing significant changes to network segmentation.,Completed,Medium,27,2.1,141,155486,Optimizing,5,Continuously improving,Not Applicable,Not relevant to current scope,,Phase 1 (0-6 months),This configuration & change management supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Operational risk,Security,Severe,Identity Team,13/01/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-F25,User,Functional,Remote Management & Monitoring,"Administrators shall be able to view performance metrics of segmentation devices (e.g., firewalls, switches) and receive alerts when thresholds are exceeded.",On Hold,Medium,8,3.5,142,301350,Managed,4,Measured and controlled,Future,Planned for future phases,0.6,Phase 1 (0-6 months),This remote management & monitoring supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Operational risk,Operational,Severe,Security Team,03/01/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-F26,User,Functional,Incident Response,Security teams shall be able to quickly implement pre-defined incident response plans that adjust network segmentation during a security event.,On Hold,Medium,35,2.2,146,110134,Managed,4,Measured and controlled,Future,Planned for future phases,0.6,Phase 1 (0-6 months),This incident response supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Security vulnerability,Security,Significant,Operations Team,20/11/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-F27,User,Functional,Compliance & Regulatory Management,"The system shall allow users to generate compliance reports for various industry standards (e.g., IEC 62443, NIST) based on current network segmentation configuration.",Completed,Low,60,4.1,55,271191,Optimizing,5,Continuously improving,Conditional,Depends on other factors,0.4,Future (24+ months),This compliance & regulatory management supports regulatory compliance and operational security. Mapped to A1: Governance. Addresses NIS Regulation 10(2)(e) - Regular testing and assessment.,Regulatory exposure,Financial,Moderate,Operations Team,06/11/2025,06/06/2025,A1: Governance,< - Blank | Not Applicable - >,NIS Regulation 10(2)(e) - Regular testing and assessment
UR-F28,User,Functional,Integration Capabilities,The system shall integrate with existing asset management systems to automatically assign new devices to appropriate network segments based on their type and function.,Under Review,Medium,49,2.3,87,403321,Managed,4,Measured and controlled,Not Applicable,Not relevant to current scope,,Phase 1 (0-6 months),This integration capabilities supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Compliance gap,Operational,Significant,Network Team,03/02/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-F29,User,Functional,Testing & Simulation,Engineers shall be able to use a sandbox environment to test changes to network segmentation without affecting the production environment.,Completed,High,4,1.7,168,281873,Defined,3,Documented and standardized,Essential,Critical for operations,1,Future (24+ months),This testing & simulation supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Regulatory exposure,Security,Significant,Compliance Team,26/03/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-F30,User,Functional,Integration Capabilities,Developers and system integrators shall be able to use APIs to automate network segmentation tasks and integrate with other systems.,In Progress,High,2,3.7,34,169763,Managed,4,Measured and controlled,Essential,Critical for operations,1,Phase 2 (6-12 months),This integration capabilities supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Compliance gap,Compliance,Severe,Identity Team,09/01/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-F31,User,Functional,Compliance & Regulatory Management,The system shall notify administrators of relevant regulatory changes that may impact network segmentation requirements.,Under Review,High,66,2.9,222,387501,Defined,3,Documented and standardized,Not Applicable,Not relevant to current scope,,Phase 1 (0-6 months),This compliance & regulatory management supports regulatory compliance and operational security. Mapped to A1: Governance. Addresses NIS Regulation 10(1) - Ongoing compliance.,Regulatory exposure,Compliance,Minor,Operations Team,16/05/2026,06/06/2025,A1: Governance,A2: Risk management,NIS Regulation 10(1) - Ongoing compliance
UR-F32,User,Functional,Visualization & User Interface,Users shall be able to customize their dashboard views and save multiple layouts based on their specific roles and preferences.,In Progress,High,61,3,182,420180,Initial,1,"Ad-hoc, no formal process",Future,Planned for future phases,0.6,Future (24+ months),This visualization & user interface supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Security vulnerability,Financial,Minor,Security Team,07/11/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-F33,User,Functional,Configuration & Change Management,The system shall support collaborative workflows allowing multiple users to work on segmentation policies simultaneously with version control.,Completed,Critical,28,4.7,144,375185,Optimizing,5,Continuously improving,Applicable,Relevant and beneficial,0.8,Phase 2 (6-12 months),This configuration & change management supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Compliance gap,Financial,Moderate,Identity Team,26/11/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-F34,User,Functional,Advanced Technologies,The system shall provide a natural language interface for users to query network segmentation status and policies.,In Progress,Low,93,1.7,81,359392,Defined,3,Documented and standardized,Not Applicable,Not relevant to current scope,,Phase 3 (12-24 months),This advanced technologies supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Compliance gap,Compliance,Minor,Identity Team,01/04/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-F35,User,Functional,Visualization & User Interface,OT engineers shall be able to use augmented reality devices to visualize network segmentation overlays in physical plant environments.,In Progress,Medium,9,1.8,30,69753,Managed,4,Measured and controlled,Not Applicable,Not relevant to current scope,,Future (24+ months),This visualization & user interface supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Compliance gap,Security,Minor,Identity Team,25/05/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-F36,User,Functional,Offline Operations,"Users shall be able to access critical segmentation information and perform basic tasks in an offline mode, with synchronization upon reconnection.",On Hold,Medium,33,3.7,39,77389,Managed,4,Measured and controlled,Conditional,Depends on other factors,0.4,Phase 1 (0-6 months),This offline operations supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Security vulnerability,Compliance,Moderate,Network Team,21/01/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-F37,User,Functional,Advanced Technologies,The system shall analyze user behavior patterns to detect anomalies and potential security risks in segmentation management activities.,On Hold,Low,1,3.8,264,341837,Managed,4,Measured and controlled,Essential,Critical for operations,1,Phase 3 (12-24 months),This advanced technologies supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Operational risk,Security,Severe,Network Team,31/05/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-F38,User,Functional,Training & Knowledge Management,The system shall incorporate gamification elements in its training modules to enhance user engagement and learning of segmentation concepts.,On Hold,Low,29,4.4,124,71454,Defined,3,Documented and standardized,Conditional,Depends on other factors,0.4,Phase 1 (0-6 months),This training & knowledge management supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Operational risk,Compliance,Minor,Network Team,11/01/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-F39,User,Functional,Advanced Technologies,Users shall have access to an AI-powered virtual assistant to help with common tasks and troubleshooting related to network segmentation.,Under Review,High,81,4.6,255,171868,Optimizing,5,Continuously improving,Essential,Critical for operations,1,Phase 3 (12-24 months),This advanced technologies supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Operational risk,Financial,Severe,Network Team,02/09/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-F40,User,Functional,Remote Management & Monitoring,The system shall provide predictive maintenance alerts for segmentation devices based on performance metrics and historical data.,On Hold,Medium,68,3.1,228,143700,Developing,2,Some processes defined,Not Applicable,Not relevant to current scope,,Phase 1 (0-6 months),This remote management & monitoring supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Compliance gap,Operational,Severe,Security Team,12/09/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-F41,User,Functional,Voice & Alternative Interfaces,Users shall be able to perform basic monitoring and control tasks using voice commands in environments where hands-free operation is beneficial.,Under Review,High,6,3.7,138,392720,Initial,1,"Ad-hoc, no formal process",Applicable,Relevant and beneficial,0.8,Future (24+ months),This voice & alternative interfaces supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Compliance gap,Financial,Moderate,Security Team,03/03/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-F42,User,Functional,Training & Knowledge Management,The system shall provide context-sensitive help and guidance based on the user's current task and historical usage patterns.,Not Started,High,45,4,210,229467,Optimizing,5,Continuously improving,Essential,Critical for operations,1,Phase 3 (12-24 months),This training & knowledge management supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Security vulnerability,Operational,Moderate,Operations Team,01/10/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
